model,n_tasks,t1_load,regime,seed,cot_len_chars,base_output_truncated,realized_report_contains,realized_t2_in_cot,t1_correct
qwen2.5:3b,5,math_bench_4,direct,7149,117,0,1,,0.25
qwen2.5:3b,5,math_bench_5,cot,7149,1386,0,1,1,0.0
qwen2.5:3b,5,math_bench_5,direct,7149,111,0,1,,0.0
qwen2.5:3b,5,trivial,cot,8114,420,0,1,1,0.75
qwen2.5:3b,5,trivial,direct,8114,169,0,1,,1.0
qwen2.5:3b,5,math_bench_2,cot,8149,1409,0,1,1,0.0
qwen2.5:3b,5,math_bench_2,direct,8149,104,0,1,,0.5
qwen2.5:3b,5,math_bench_4,cot,8149,527,0,0,0,0.25
qwen2.5:3b,5,math_bench_4,direct,8149,152,0,1,,0.0
qwen2.5:3b,5,math_bench_5,cot,8149,1765,0,1,1,0.25
qwen2.5:3b,5,math_bench_5,direct,8149,188,0,1,,0.25
qwen2.5:3b,5,trivial,cot,9114,287,0,0,0,0.75
qwen2.5:3b,5,trivial,direct,9114,165,0,1,,1.0
qwen2.5:3b,5,math_bench_2,cot,9149,1356,0,1,1,0.75
qwen2.5:3b,5,math_bench_2,direct,9149,172,0,1,,0.0
qwen2.5:3b,5,math_bench_4,cot,9149,1542,0,0,0,0.25
qwen2.5:3b,5,math_bench_4,direct,9149,125,0,1,,0.0
qwen2.5:3b,5,math_bench_5,cot,9149,1377,0,1,1,0.0
qwen2.5:3b,5,math_bench_5,direct,9149,369,0,1,,0.0
qwen2.5:3b,5,trivial,cot,10114,540,0,1,1,1.0
qwen2.5:3b,5,trivial,direct,10114,144,0,1,,1.0
qwen2.5:3b,5,math_bench_2,cot,10149,1909,0,1,1,0.5
qwen2.5:3b,5,math_bench_2,direct,10149,174,0,1,,0.0
qwen2.5:3b,5,math_bench_4,cot,10149,925,0,1,1,0.0
qwen2.5:3b,5,math_bench_4,direct,10149,107,0,1,,0.0
qwen2.5:3b,5,math_bench_5,cot,10149,1015,0,1,1,0.0
qwen2.5:3b,5,math_bench_5,direct,10149,107,0,1,,0.5
qwen2.5:3b,5,trivial,cot,11114,265,0,1,1,0.25
qwen2.5:3b,5,trivial,direct,11114,270,0,1,,1.0
qwen2.5:3b,5,math_bench_2,cot,11149,742,0,1,1,1.0
qwen2.5:3b,5,math_bench_2,direct,11149,112,0,1,,0.5
qwen2.5:3b,5,math_bench_4,cot,11149,983,0,0,0,0.0
qwen2.5:3b,5,math_bench_4,direct,11149,115,0,1,,0.0
qwen2.5:3b,5,math_bench_5,cot,11149,1030,0,0,0,0.0
qwen2.5:3b,5,math_bench_5,direct,11149,139,0,0,,0.0
qwen2.5:3b,5,trivial,cot,12114,640,0,0,1,0.75
qwen2.5:3b,5,trivial,direct,12114,133,0,1,,1.0
qwen2.5:3b,5,math_bench_2,cot,12149,862,0,0,1,0.0
qwen2.5:3b,5,math_bench_2,direct,12149,110,0,1,,0.0
qwen2.5:3b,5,math_bench_4,cot,12149,914,0,0,0,0.0
qwen2.5:3b,5,math_bench_4,direct,12149,132,0,1,,0.0
qwen2.5:3b,5,math_bench_5,cot,12149,1301,0,1,1,0.25
qwen2.5:3b,5,math_bench_5,direct,12149,110,0,1,,0.0
qwen2.5:3b,5,trivial,cot,13114,555,0,1,1,1.0
qwen2.5:3b,5,trivial,direct,13114,168,0,1,,1.0
qwen2.5:3b,5,math_bench_2,cot,13149,919,0,0,0,0.25
qwen2.5:3b,5,math_bench_2,direct,13149,145,0,0,,0.25
qwen2.5:3b,5,math_bench_4,cot,13149,2293,0,0,0,0.25
qwen2.5:3b,5,math_bench_4,direct,13149,111,0,0,,0.0
qwen2.5:3b,5,math_bench_5,cot,13149,555,0,0,0,0.0
qwen2.5:3b,5,math_bench_5,direct,13149,128,0,1,,0.25
qwen2.5:3b,5,trivial,cot,14114,907,0,1,1,0.5
qwen2.5:3b,5,trivial,direct,14114,215,0,1,,1.0
qwen2.5:3b,5,math_bench_2,cot,14149,921,0,0,0,0.25
qwen2.5:3b,5,math_bench_2,direct,14149,110,0,1,,0.25
qwen2.5:3b,5,math_bench_4,cot,14149,733,0,0,0,0.0
qwen2.5:3b,5,math_bench_4,direct,14149,117,0,1,,0.25
qwen2.5:3b,5,math_bench_5,cot,14149,2937,0,1,1,0.25
qwen2.5:3b,5,math_bench_5,direct,14149,186,0,1,,0.0
