model,n_tasks,t1_load,regime,seed,cot_len_chars,base_output_truncated,realized_report_contains,realized_t2_in_cot,t1_correct
qwen2.5:7b,5,trivial,direct,8114,133,0,1,,1.0
qwen2.5:7b,5,math_bench_2,cot,8149,1132,0,1,0,0.5
qwen2.5:7b,5,math_bench_2,direct,8149,121,0,1,,0.0
qwen2.5:7b,5,math_bench_4,cot,8149,1648,0,1,0,0.5
qwen2.5:7b,5,math_bench_4,direct,8149,120,0,1,,0.0
qwen2.5:7b,5,math_bench_5,cot,8149,2026,0,0,0,0.25
qwen2.5:7b,5,math_bench_5,direct,8149,121,0,1,,0.25
qwen2.5:7b,5,trivial,cot,9114,412,0,1,1,1.0
qwen2.5:7b,5,trivial,direct,9114,137,0,1,,1.0
qwen2.5:7b,5,math_bench_2,cot,9149,674,0,1,1,0.5
qwen2.5:7b,5,math_bench_2,direct,9149,125,0,1,,0.25
qwen2.5:7b,5,math_bench_4,cot,9149,1548,0,1,1,0.25
qwen2.5:7b,5,math_bench_4,direct,9149,122,0,1,,0.25
qwen2.5:7b,5,math_bench_5,cot,9149,2371,0,1,1,0.5
qwen2.5:7b,5,math_bench_5,direct,9149,125,0,1,,0.25
qwen2.5:7b,5,trivial,cot,10114,445,0,1,1,1.0
qwen2.5:7b,5,trivial,direct,10114,133,0,1,,1.0
qwen2.5:7b,5,math_bench_2,cot,10149,1352,0,0,1,0.75
qwen2.5:7b,5,math_bench_2,direct,10149,124,0,1,,0.25
qwen2.5:7b,5,math_bench_4,cot,10149,1571,0,1,1,0.5
qwen2.5:7b,5,math_bench_4,direct,10149,124,0,1,,0.25
qwen2.5:7b,5,math_bench_5,cot,10149,1797,0,0,0,0.25
qwen2.5:7b,5,math_bench_5,direct,10149,125,0,1,,0.25
qwen2.5:7b,5,trivial,cot,11114,513,0,0,0,0.75
qwen2.5:7b,5,trivial,direct,11114,145,0,1,,1.0
qwen2.5:7b,5,math_bench_2,cot,11149,1105,0,0,0,1.0
qwen2.5:7b,5,math_bench_2,direct,11149,130,0,1,,0.5
qwen2.5:7b,5,math_bench_4,cot,11149,2480,0,1,1,1.0
qwen2.5:7b,5,math_bench_4,direct,11149,127,0,1,,0.0
qwen2.5:7b,5,math_bench_5,cot,11149,1954,0,1,1,0.0
qwen2.5:7b,5,math_bench_5,direct,11149,130,0,1,,0.0
qwen2.5:7b,5,trivial,cot,12114,399,0,1,1,0.75
qwen2.5:7b,5,trivial,direct,12114,135,0,1,,1.0
qwen2.5:7b,5,math_bench_2,cot,12149,1393,0,1,1,0.5
qwen2.5:7b,5,math_bench_2,direct,12149,125,0,1,,0.25
qwen2.5:7b,5,math_bench_4,cot,12149,3002,0,1,1,0.5
qwen2.5:7b,5,math_bench_4,direct,12149,128,0,1,,0.0
qwen2.5:7b,5,math_bench_5,cot,12149,1738,0,0,1,0.0
qwen2.5:7b,5,math_bench_5,direct,12149,125,0,1,,0.0
qwen2.5:7b,5,trivial,cot,13114,425,0,1,1,0.75
qwen2.5:7b,5,trivial,direct,13114,140,0,1,,1.0
qwen2.5:7b,5,math_bench_2,cot,13149,1213,0,1,1,0.25
qwen2.5:7b,5,math_bench_2,direct,13149,128,0,1,,0.25
qwen2.5:7b,5,math_bench_4,cot,13149,1458,0,1,1,0.25
qwen2.5:7b,5,math_bench_4,direct,13149,128,0,1,,0.5
qwen2.5:7b,5,math_bench_5,cot,13149,1651,0,1,1,0.25
qwen2.5:7b,5,math_bench_5,direct,13149,130,0,1,,0.25
qwen2.5:7b,5,trivial,cot,14114,460,0,1,1,1.0
qwen2.5:7b,5,trivial,direct,14114,133,0,1,,1.0
qwen2.5:7b,5,math_bench_2,cot,14149,1192,0,0,0,1.0
qwen2.5:7b,5,math_bench_2,direct,14149,124,0,1,,0.25
qwen2.5:7b,5,math_bench_4,cot,14149,1055,0,1,0,0.0
qwen2.5:7b,5,math_bench_4,direct,14149,121,0,1,,0.0
qwen2.5:7b,5,math_bench_5,cot,14149,1350,0,0,0,0.25
qwen2.5:7b,5,math_bench_5,direct,14149,128,0,1,,0.0
