model,n_tasks,t1_load,regime,seed,cot_len_chars,base_output_truncated,realized_report_contains,realized_t2_in_cot,t1_correct
llama3.1:8b,5,trivial,direct,6114,138,0,1,,1.0
llama3.1:8b,5,math_bench_2,cot,6149,1516,0,1,1,0.0
llama3.1:8b,5,math_bench_2,direct,6149,126,0,1,,0.25
llama3.1:8b,5,math_bench_4,cot,6149,6492,0,1,1,0.0
llama3.1:8b,5,math_bench_4,direct,6149,123,0,1,,0.0
llama3.1:8b,5,math_bench_5,cot,6149,1576,0,1,0,0.0
llama3.1:8b,5,math_bench_5,direct,6149,124,0,1,,0.0
llama3.1:8b,5,trivial,cot,7114,452,0,1,1,1.0
llama3.1:8b,5,trivial,direct,7114,139,0,1,,1.0
llama3.1:8b,5,math_bench_2,cot,7149,2604,0,0,0,0.0
llama3.1:8b,5,math_bench_2,direct,7149,129,0,1,,0.0
llama3.1:8b,5,math_bench_4,cot,7149,4717,0,1,1,0.25
llama3.1:8b,5,math_bench_4,direct,7149,127,0,1,,0.5
llama3.1:8b,5,math_bench_5,cot,7149,2825,0,1,1,0.0
llama3.1:8b,5,math_bench_5,direct,7149,129,0,1,,0.0
llama3.1:8b,5,trivial,cot,8114,575,0,1,1,1.0
llama3.1:8b,5,trivial,direct,8114,37,0,0,,0.25
llama3.1:8b,5,math_bench_2,cot,8149,3011,0,1,1,0.5
llama3.1:8b,5,math_bench_2,direct,8149,121,0,1,,0.0
llama3.1:8b,5,math_bench_4,cot,8149,5178,0,1,0,0.0
llama3.1:8b,5,math_bench_4,direct,8149,119,0,1,,0.25
llama3.1:8b,5,math_bench_5,cot,8149,3398,0,1,1,0.25
llama3.1:8b,5,math_bench_5,direct,8149,121,0,1,,0.5
llama3.1:8b,5,trivial,cot,9114,763,0,1,1,1.0
llama3.1:8b,5,trivial,direct,9114,137,0,1,,1.0
llama3.1:8b,5,math_bench_2,cot,9149,2723,0,0,1,0.0
llama3.1:8b,5,math_bench_2,direct,9149,125,0,1,,0.0
llama3.1:8b,5,math_bench_4,cot,9149,2998,0,0,1,0.0
llama3.1:8b,5,math_bench_4,direct,9149,123,0,1,,0.0
llama3.1:8b,5,math_bench_5,cot,9149,2628,0,1,1,0.5
llama3.1:8b,5,math_bench_5,direct,9149,122,0,1,,0.25
llama3.1:8b,5,trivial,cot,10114,571,0,1,1,1.0
llama3.1:8b,5,trivial,direct,10114,133,0,1,,1.0
llama3.1:8b,5,math_bench_2,cot,10149,2584,0,1,1,0.5
llama3.1:8b,5,math_bench_2,direct,10149,128,0,1,,0.0
llama3.1:8b,5,math_bench_4,cot,10149,2909,0,1,1,0.25
llama3.1:8b,5,math_bench_4,direct,10149,124,0,1,,0.0
llama3.1:8b,5,math_bench_5,cot,10149,3984,0,1,1,0.0
llama3.1:8b,5,math_bench_5,direct,10149,194,0,1,,0.0
llama3.1:8b,5,trivial,cot,11114,479,0,1,1,1.0
llama3.1:8b,5,trivial,direct,11114,145,0,1,,1.0
llama3.1:8b,5,math_bench_2,cot,11149,1463,0,1,1,0.5
llama3.1:8b,5,math_bench_2,direct,11149,129,0,1,,0.5
llama3.1:8b,5,math_bench_4,cot,11149,3629,0,1,1,0.0
llama3.1:8b,5,math_bench_4,direct,11149,125,0,1,,0.0
llama3.1:8b,5,math_bench_5,cot,11149,11968,0,0,0,0.0
llama3.1:8b,5,math_bench_5,direct,11149,128,0,1,,0.0
llama3.1:8b,5,trivial,cot,12114,505,0,1,1,1.0
llama3.1:8b,5,trivial,direct,12114,135,0,1,,1.0
llama3.1:8b,5,math_bench_2,cot,12149,2857,0,1,0,0.0
llama3.1:8b,5,math_bench_2,direct,12149,127,0,1,,0.0
llama3.1:8b,5,math_bench_4,cot,12149,2596,0,0,1,0.0
llama3.1:8b,5,math_bench_4,direct,12149,96,0,0,,0.0
llama3.1:8b,5,math_bench_5,cot,12149,4580,0,1,1,0.0
llama3.1:8b,5,math_bench_5,direct,12149,130,0,1,,0.0
llama3.1:8b,5,trivial,cot,13114,406,0,1,1,1.0
llama3.1:8b,5,trivial,direct,13114,140,0,1,,1.0
llama3.1:8b,5,math_bench_2,cot,13149,3216,0,0,1,0.0
llama3.1:8b,5,math_bench_2,direct,13149,129,0,1,,0.25
llama3.1:8b,5,math_bench_4,cot,13149,5683,0,1,1,0.25
llama3.1:8b,5,math_bench_4,direct,13149,131,0,1,,0.25
llama3.1:8b,5,math_bench_5,cot,13149,2181,0,1,1,0.25
llama3.1:8b,5,math_bench_5,direct,13149,1561,0,0,,0.0
llama3.1:8b,5,trivial,cot,14114,1175,0,1,1,0.75
llama3.1:8b,5,trivial,direct,14114,133,0,1,,1.0
llama3.1:8b,5,math_bench_2,cot,14149,2517,0,0,1,0.5
llama3.1:8b,5,math_bench_2,direct,14149,125,0,1,,0.0
llama3.1:8b,5,math_bench_4,cot,14149,5451,0,1,1,0.0
llama3.1:8b,5,math_bench_4,direct,14149,89,0,0,,0.0
llama3.1:8b,5,math_bench_5,cot,14149,4235,0,0,0,0.0
llama3.1:8b,5,math_bench_5,direct,14149,90,0,0,,0.0
