model,t1_load,regime,seed,t2_task_name,t2_rank,cot_id,s,k,t2_in_this_cot
qwen2.5:3b,semantic_4,cot,3135,PLATYPUS,5,0,2,6,1
qwen2.5:3b,semantic_4,cot,3135,PLATYPUS,5,1,6,6,1
qwen2.5:3b,semantic_4,cot,3135,PLATYPUS,5,2,0,6,0
qwen2.5:3b,semantic_4,cot,3135,PLATYPUS,5,3,0,6,0
qwen2.5:3b,semantic_4,cot,3135,PLATYPUS,5,4,0,6,0
qwen2.5:3b,semantic_4,cot,3135,PLATYPUS,5,5,0,6,0
qwen2.5:3b,semantic_4,cot,3135,PLATYPUS,5,6,6,6,1
qwen2.5:3b,semantic_4,cot,3135,PLATYPUS,5,7,0,6,0
qwen2.5:3b,trivial,cot,4114,HAMMOCK,5,0,0,6,1
qwen2.5:3b,trivial,cot,4114,HAMMOCK,5,1,1,6,1
qwen2.5:3b,trivial,cot,4114,HAMMOCK,5,2,2,6,1
qwen2.5:3b,trivial,cot,4114,HAMMOCK,5,3,2,6,1
qwen2.5:3b,trivial,cot,4114,HAMMOCK,5,4,1,6,0
qwen2.5:3b,trivial,cot,4114,HAMMOCK,5,5,2,6,1
qwen2.5:3b,trivial,cot,4114,HAMMOCK,5,6,6,6,1
qwen2.5:3b,trivial,cot,4114,HAMMOCK,5,7,0,6,0
qwen2.5:3b,semantic_4,cot,4135,URCHIN,5,0,3,6,0
qwen2.5:3b,semantic_4,cot,4135,URCHIN,5,1,4,6,0
qwen2.5:3b,semantic_4,cot,4135,URCHIN,5,2,5,6,0
qwen2.5:3b,semantic_4,cot,4135,URCHIN,5,3,6,6,1
qwen2.5:3b,semantic_4,cot,4135,URCHIN,5,4,0,6,0
qwen2.5:3b,semantic_4,cot,4135,URCHIN,5,5,6,6,1
qwen2.5:3b,semantic_4,cot,4135,URCHIN,5,6,0,6,0
qwen2.5:3b,semantic_4,cot,4135,URCHIN,5,7,6,6,1
qwen2.5:3b,trivial,cot,5114,BLIZZARD,5,0,6,6,1
qwen2.5:3b,trivial,cot,5114,BLIZZARD,5,1,6,6,1
qwen2.5:3b,trivial,cot,5114,BLIZZARD,5,2,6,6,1
qwen2.5:3b,trivial,cot,5114,BLIZZARD,5,3,6,6,1
qwen2.5:3b,trivial,cot,5114,BLIZZARD,5,4,6,6,1
qwen2.5:3b,trivial,cot,5114,BLIZZARD,5,5,6,6,1
qwen2.5:3b,trivial,cot,5114,BLIZZARD,5,6,6,6,1
qwen2.5:3b,trivial,cot,5114,BLIZZARD,5,7,6,6,1
qwen2.5:3b,semantic_4,cot,5135,TAPESTRY,5,0,6,6,1
qwen2.5:3b,semantic_4,cot,5135,TAPESTRY,5,1,6,6,1
qwen2.5:3b,semantic_4,cot,5135,TAPESTRY,5,2,0,6,0
qwen2.5:3b,semantic_4,cot,5135,TAPESTRY,5,3,6,6,1
qwen2.5:3b,semantic_4,cot,5135,TAPESTRY,5,4,6,6,1
qwen2.5:3b,semantic_4,cot,5135,TAPESTRY,5,5,0,6,0
qwen2.5:3b,semantic_4,cot,5135,TAPESTRY,5,6,5,6,1
qwen2.5:3b,semantic_4,cot,5135,TAPESTRY,5,7,5,6,0
qwen2.5:3b,trivial,cot,6114,CACTUS,5,0,6,6,1
qwen2.5:3b,trivial,cot,6114,CACTUS,5,1,6,6,1
qwen2.5:3b,trivial,cot,6114,CACTUS,5,2,6,6,1
qwen2.5:3b,trivial,cot,6114,CACTUS,5,3,6,6,1
qwen2.5:3b,trivial,cot,6114,CACTUS,5,4,0,6,0
qwen2.5:3b,trivial,cot,6114,CACTUS,5,5,6,6,1
qwen2.5:3b,trivial,cot,6114,CACTUS,5,6,6,6,1
qwen2.5:3b,trivial,cot,6114,CACTUS,5,7,6,6,1
qwen2.5:3b,semantic_4,cot,6135,KAYAK,5,0,6,6,1
qwen2.5:3b,semantic_4,cot,6135,KAYAK,5,1,6,6,1
qwen2.5:3b,semantic_4,cot,6135,KAYAK,5,2,5,6,0
qwen2.5:3b,semantic_4,cot,6135,KAYAK,5,3,6,6,1
qwen2.5:3b,semantic_4,cot,6135,KAYAK,5,4,6,6,0
qwen2.5:3b,semantic_4,cot,6135,KAYAK,5,5,6,6,1
qwen2.5:3b,semantic_4,cot,6135,KAYAK,5,6,0,6,1
qwen2.5:3b,semantic_4,cot,6135,KAYAK,5,7,0,6,0
qwen2.5:3b,trivial,cot,7114,VINEYARD,5,0,6,6,1
qwen2.5:3b,trivial,cot,7114,VINEYARD,5,1,6,6,1
qwen2.5:3b,trivial,cot,7114,VINEYARD,5,2,6,6,1
qwen2.5:3b,trivial,cot,7114,VINEYARD,5,3,6,6,1
qwen2.5:3b,trivial,cot,7114,VINEYARD,5,4,6,6,1
qwen2.5:3b,trivial,cot,7114,VINEYARD,5,5,6,6,1
qwen2.5:3b,trivial,cot,7114,VINEYARD,5,6,6,6,1
qwen2.5:3b,trivial,cot,7114,VINEYARD,5,7,6,6,1
qwen2.5:3b,semantic_4,cot,7135,METRONOME,5,0,0,6,0
qwen2.5:3b,semantic_4,cot,7135,METRONOME,5,1,6,6,1
qwen2.5:3b,semantic_4,cot,7135,METRONOME,5,2,0,6,0
qwen2.5:3b,semantic_4,cot,7135,METRONOME,5,3,0,6,0
qwen2.5:3b,semantic_4,cot,7135,METRONOME,5,4,0,6,0
qwen2.5:3b,semantic_4,cot,7135,METRONOME,5,5,1,6,0
qwen2.5:3b,semantic_4,cot,7135,METRONOME,5,6,6,6,1
qwen2.5:3b,semantic_4,cot,7135,METRONOME,5,7,0,6,0
qwen2.5:3b,trivial,cot,8114,PYRAMID,5,0,6,6,1
qwen2.5:3b,trivial,cot,8114,PYRAMID,5,1,6,6,1
qwen2.5:3b,trivial,cot,8114,PYRAMID,5,2,6,6,1
qwen2.5:3b,trivial,cot,8114,PYRAMID,5,3,6,6,1
qwen2.5:3b,trivial,cot,8114,PYRAMID,5,4,6,6,1
qwen2.5:3b,trivial,cot,8114,PYRAMID,5,5,6,6,1
qwen2.5:3b,trivial,cot,8114,PYRAMID,5,6,6,6,1
qwen2.5:3b,trivial,cot,8114,PYRAMID,5,7,6,6,1
qwen2.5:3b,semantic_4,cot,8135,QUIVER,5,0,0,6,0
qwen2.5:3b,semantic_4,cot,8135,QUIVER,5,1,0,6,0
qwen2.5:3b,semantic_4,cot,8135,QUIVER,5,2,6,6,1
qwen2.5:3b,semantic_4,cot,8135,QUIVER,5,3,6,6,1
qwen2.5:3b,semantic_4,cot,8135,QUIVER,5,4,6,6,1
qwen2.5:3b,semantic_4,cot,8135,QUIVER,5,5,6,6,1
qwen2.5:3b,semantic_4,cot,8135,QUIVER,5,6,6,6,1
qwen2.5:3b,semantic_4,cot,8135,QUIVER,5,7,6,6,1
qwen2.5:3b,trivial,cot,9114,ORCHID,5,0,0,6,0
qwen2.5:3b,trivial,cot,9114,ORCHID,5,1,6,6,1
qwen2.5:3b,trivial,cot,9114,ORCHID,5,2,6,6,1
qwen2.5:3b,trivial,cot,9114,ORCHID,5,3,6,6,1
qwen2.5:3b,trivial,cot,9114,ORCHID,5,4,0,6,0
qwen2.5:3b,trivial,cot,9114,ORCHID,5,5,6,6,1
qwen2.5:3b,trivial,cot,9114,ORCHID,5,6,2,6,0
qwen2.5:3b,trivial,cot,9114,ORCHID,5,7,6,6,0
qwen2.5:3b,semantic_4,cot,9135,SUNDIAL,5,0,6,6,1
qwen2.5:3b,semantic_4,cot,9135,SUNDIAL,5,1,0,6,0
qwen2.5:3b,semantic_4,cot,9135,SUNDIAL,5,2,6,6,1
qwen2.5:3b,semantic_4,cot,9135,SUNDIAL,5,3,6,6,1
qwen2.5:3b,semantic_4,cot,9135,SUNDIAL,5,4,4,6,1
qwen2.5:3b,semantic_4,cot,9135,SUNDIAL,5,5,2,6,0
qwen2.5:3b,semantic_4,cot,9135,SUNDIAL,5,6,3,6,0
qwen2.5:3b,semantic_4,cot,9135,SUNDIAL,5,7,6,6,1
qwen2.5:3b,trivial,cot,10114,NUTMEG,5,0,4,6,1
qwen2.5:3b,trivial,cot,10114,NUTMEG,5,1,6,6,1
qwen2.5:3b,trivial,cot,10114,NUTMEG,5,2,6,6,1
qwen2.5:3b,trivial,cot,10114,NUTMEG,5,3,6,6,0
qwen2.5:3b,trivial,cot,10114,NUTMEG,5,4,6,6,1
qwen2.5:3b,trivial,cot,10114,NUTMEG,5,5,6,6,1
qwen2.5:3b,trivial,cot,10114,NUTMEG,5,6,6,6,1
qwen2.5:3b,trivial,cot,10114,NUTMEG,5,7,6,6,1
qwen2.5:3b,semantic_4,cot,10135,PELICAN,5,0,0,6,0
qwen2.5:3b,semantic_4,cot,10135,PELICAN,5,1,0,6,0
qwen2.5:3b,semantic_4,cot,10135,PELICAN,5,2,6,6,1
qwen2.5:3b,semantic_4,cot,10135,PELICAN,5,3,0,6,0
qwen2.5:3b,semantic_4,cot,10135,PELICAN,5,4,0,6,0
qwen2.5:3b,semantic_4,cot,10135,PELICAN,5,5,0,6,0
qwen2.5:3b,semantic_4,cot,10135,PELICAN,5,6,0,6,0
qwen2.5:3b,semantic_4,cot,10135,PELICAN,5,7,0,6,0
qwen2.5:3b,trivial,cot,11114,HEDGEHOG,5,0,5,6,0
qwen2.5:3b,trivial,cot,11114,HEDGEHOG,5,1,6,6,1
qwen2.5:3b,trivial,cot,11114,HEDGEHOG,5,2,6,6,1
qwen2.5:3b,trivial,cot,11114,HEDGEHOG,5,3,6,6,1
qwen2.5:3b,trivial,cot,11114,HEDGEHOG,5,4,6,6,1
qwen2.5:3b,trivial,cot,11114,HEDGEHOG,5,5,6,6,1
qwen2.5:3b,trivial,cot,11114,HEDGEHOG,5,6,6,6,1
qwen2.5:3b,trivial,cot,11114,HEDGEHOG,5,7,6,6,1
qwen2.5:3b,semantic_4,cot,11135,OPAL,5,0,6,6,1
qwen2.5:3b,semantic_4,cot,11135,OPAL,5,1,6,6,1
qwen2.5:3b,semantic_4,cot,11135,OPAL,5,2,6,6,1
qwen2.5:3b,semantic_4,cot,11135,OPAL,5,3,3,6,0
qwen2.5:3b,semantic_4,cot,11135,OPAL,5,4,5,6,1
qwen2.5:3b,semantic_4,cot,11135,OPAL,5,5,6,6,1
qwen2.5:3b,semantic_4,cot,11135,OPAL,5,6,6,6,1
qwen2.5:3b,semantic_4,cot,11135,OPAL,5,7,6,6,1
qwen2.5:3b,trivial,cot,12114,VINEYARD,5,0,1,6,1
qwen2.5:3b,trivial,cot,12114,VINEYARD,5,1,6,6,1
qwen2.5:3b,trivial,cot,12114,VINEYARD,5,2,3,6,1
qwen2.5:3b,trivial,cot,12114,VINEYARD,5,3,6,6,1
qwen2.5:3b,trivial,cot,12114,VINEYARD,5,4,6,6,1
qwen2.5:3b,trivial,cot,12114,VINEYARD,5,5,6,6,1
qwen2.5:3b,trivial,cot,12114,VINEYARD,5,6,6,6,1
qwen2.5:3b,trivial,cot,12114,VINEYARD,5,7,6,6,1
qwen2.5:3b,semantic_4,cot,12135,GARGOYLE,5,0,0,6,0
qwen2.5:3b,semantic_4,cot,12135,GARGOYLE,5,1,6,6,1
qwen2.5:3b,semantic_4,cot,12135,GARGOYLE,5,2,6,6,1
qwen2.5:3b,semantic_4,cot,12135,GARGOYLE,5,3,6,6,1
qwen2.5:3b,semantic_4,cot,12135,GARGOYLE,5,4,1,6,0
qwen2.5:3b,semantic_4,cot,12135,GARGOYLE,5,5,6,6,1
qwen2.5:3b,semantic_4,cot,12135,GARGOYLE,5,6,6,6,1
qwen2.5:3b,semantic_4,cot,12135,GARGOYLE,5,7,0,6,0
qwen2.5:3b,trivial,cot,13114,FIREFLY,5,0,0,6,0
qwen2.5:3b,trivial,cot,13114,FIREFLY,5,1,0,6,0
qwen2.5:3b,trivial,cot,13114,FIREFLY,5,2,1,6,0
qwen2.5:3b,trivial,cot,13114,FIREFLY,5,3,0,6,0
qwen2.5:3b,trivial,cot,13114,FIREFLY,5,4,0,6,0
qwen2.5:3b,trivial,cot,13114,FIREFLY,5,5,1,6,0
qwen2.5:3b,trivial,cot,13114,FIREFLY,5,6,0,6,0
qwen2.5:3b,trivial,cot,13114,FIREFLY,5,7,6,6,1
qwen2.5:3b,semantic_4,cot,13135,TAPESTRY,5,0,0,6,0
qwen2.5:3b,semantic_4,cot,13135,TAPESTRY,5,1,0,6,0
qwen2.5:3b,semantic_4,cot,13135,TAPESTRY,5,2,6,6,0
qwen2.5:3b,semantic_4,cot,13135,TAPESTRY,5,3,0,6,0
qwen2.5:3b,semantic_4,cot,13135,TAPESTRY,5,4,6,6,1
qwen2.5:3b,semantic_4,cot,13135,TAPESTRY,5,5,0,6,0
qwen2.5:3b,semantic_4,cot,13135,TAPESTRY,5,6,6,6,1
qwen2.5:3b,semantic_4,cot,13135,TAPESTRY,5,7,0,6,1
qwen2.5:3b,trivial,cot,14114,CACTUS,5,0,6,6,1
qwen2.5:3b,trivial,cot,14114,CACTUS,5,1,0,6,0
qwen2.5:3b,trivial,cot,14114,CACTUS,5,2,6,6,1
qwen2.5:3b,trivial,cot,14114,CACTUS,5,3,6,6,1
qwen2.5:3b,trivial,cot,14114,CACTUS,5,4,1,6,1
qwen2.5:3b,trivial,cot,14114,CACTUS,5,5,6,6,1
qwen2.5:3b,trivial,cot,14114,CACTUS,5,6,6,6,1
qwen2.5:3b,trivial,cot,14114,CACTUS,5,7,6,6,1
qwen2.5:3b,semantic_4,cot,14135,HARMONICA,5,0,0,6,1
qwen2.5:3b,semantic_4,cot,14135,HARMONICA,5,1,0,6,1
qwen2.5:3b,semantic_4,cot,14135,HARMONICA,5,2,6,6,1
qwen2.5:3b,semantic_4,cot,14135,HARMONICA,5,3,3,6,0
qwen2.5:3b,semantic_4,cot,14135,HARMONICA,5,4,0,6,0
qwen2.5:3b,semantic_4,cot,14135,HARMONICA,5,5,0,6,0
qwen2.5:3b,semantic_4,cot,14135,HARMONICA,5,6,1,6,1
qwen2.5:3b,semantic_4,cot,14135,HARMONICA,5,7,0,6,0
qwen2.5:3b,trivial,cot,15114,ANCHOVY,5,0,6,6,1
qwen2.5:3b,trivial,cot,15114,ANCHOVY,5,1,6,6,1
qwen2.5:3b,trivial,cot,15114,ANCHOVY,5,2,4,6,0
qwen2.5:3b,trivial,cot,15114,ANCHOVY,5,3,6,6,1
qwen2.5:3b,trivial,cot,15114,ANCHOVY,5,4,6,6,1
qwen2.5:3b,trivial,cot,15114,ANCHOVY,5,5,6,6,1
qwen2.5:3b,trivial,cot,15114,ANCHOVY,5,6,6,6,1
qwen2.5:3b,trivial,cot,15114,ANCHOVY,5,7,6,6,1
qwen2.5:3b,semantic_4,cot,15135,TOBOGGAN,5,0,6,6,1
qwen2.5:3b,semantic_4,cot,15135,TOBOGGAN,5,1,0,6,0
qwen2.5:3b,semantic_4,cot,15135,TOBOGGAN,5,2,1,6,0
qwen2.5:3b,semantic_4,cot,15135,TOBOGGAN,5,3,0,6,0
qwen2.5:3b,semantic_4,cot,15135,TOBOGGAN,5,4,0,6,0
qwen2.5:3b,semantic_4,cot,15135,TOBOGGAN,5,5,0,6,0
qwen2.5:3b,semantic_4,cot,15135,TOBOGGAN,5,6,0,6,0
qwen2.5:3b,semantic_4,cot,15135,TOBOGGAN,5,7,0,6,0
qwen2.5:3b,trivial,cot,16114,JIGSAW,5,0,6,6,1
qwen2.5:3b,trivial,cot,16114,JIGSAW,5,1,6,6,1
qwen2.5:3b,trivial,cot,16114,JIGSAW,5,2,6,6,1
qwen2.5:3b,trivial,cot,16114,JIGSAW,5,3,6,6,1
qwen2.5:3b,trivial,cot,16114,JIGSAW,5,4,6,6,1
qwen2.5:3b,trivial,cot,16114,JIGSAW,5,5,6,6,1
qwen2.5:3b,trivial,cot,16114,JIGSAW,5,6,6,6,1
qwen2.5:3b,trivial,cot,16114,JIGSAW,5,7,6,6,1
qwen2.5:3b,semantic_4,cot,16135,BLIZZARD,5,0,6,6,1
qwen2.5:3b,semantic_4,cot,16135,BLIZZARD,5,1,0,6,0
qwen2.5:3b,semantic_4,cot,16135,BLIZZARD,5,2,0,6,0
qwen2.5:3b,semantic_4,cot,16135,BLIZZARD,5,3,0,6,0
qwen2.5:3b,semantic_4,cot,16135,BLIZZARD,5,4,0,6,0
qwen2.5:3b,semantic_4,cot,16135,BLIZZARD,5,5,0,6,0
qwen2.5:3b,semantic_4,cot,16135,BLIZZARD,5,6,3,6,1
qwen2.5:3b,semantic_4,cot,16135,BLIZZARD,5,7,1,6,1
qwen2.5:3b,trivial,cot,17114,CENTIPEDE,5,0,6,6,1
qwen2.5:3b,trivial,cot,17114,CENTIPEDE,5,1,0,6,0
qwen2.5:3b,trivial,cot,17114,CENTIPEDE,5,2,6,6,1
qwen2.5:3b,trivial,cot,17114,CENTIPEDE,5,3,6,6,1
qwen2.5:3b,trivial,cot,17114,CENTIPEDE,5,4,6,6,1
qwen2.5:3b,trivial,cot,17114,CENTIPEDE,5,5,6,6,1
qwen2.5:3b,trivial,cot,17114,CENTIPEDE,5,6,6,6,1
qwen2.5:3b,trivial,cot,17114,CENTIPEDE,5,7,6,6,1
qwen2.5:3b,semantic_4,cot,17135,EMERALD,5,0,0,6,0
qwen2.5:3b,semantic_4,cot,17135,EMERALD,5,1,0,6,0
qwen2.5:3b,semantic_4,cot,17135,EMERALD,5,2,0,6,0
qwen2.5:3b,semantic_4,cot,17135,EMERALD,5,3,0,6,0
qwen2.5:3b,semantic_4,cot,17135,EMERALD,5,4,0,6,0
qwen2.5:3b,semantic_4,cot,17135,EMERALD,5,5,1,6,0
qwen2.5:3b,semantic_4,cot,17135,EMERALD,5,6,0,6,0
qwen2.5:3b,semantic_4,cot,17135,EMERALD,5,7,0,6,0
qwen2.5:3b,trivial,cot,18114,INKWELL,5,0,6,6,1
qwen2.5:3b,trivial,cot,18114,INKWELL,5,1,0,6,1
qwen2.5:3b,trivial,cot,18114,INKWELL,5,2,6,6,1
qwen2.5:3b,trivial,cot,18114,INKWELL,5,3,2,6,1
qwen2.5:3b,trivial,cot,18114,INKWELL,5,4,0,6,1
qwen2.5:3b,trivial,cot,18114,INKWELL,5,5,4,6,1
qwen2.5:3b,trivial,cot,18114,INKWELL,5,6,5,6,1
qwen2.5:3b,trivial,cot,18114,INKWELL,5,7,0,6,1
qwen2.5:3b,semantic_4,cot,18135,ABACUS,5,0,5,6,1
qwen2.5:3b,semantic_4,cot,18135,ABACUS,5,1,6,6,1
qwen2.5:3b,semantic_4,cot,18135,ABACUS,5,2,6,6,1
qwen2.5:3b,semantic_4,cot,18135,ABACUS,5,3,6,6,1
qwen2.5:3b,semantic_4,cot,18135,ABACUS,5,4,6,6,1
qwen2.5:3b,semantic_4,cot,18135,ABACUS,5,5,6,6,1
qwen2.5:3b,semantic_4,cot,18135,ABACUS,5,6,6,6,1
qwen2.5:3b,semantic_4,cot,18135,ABACUS,5,7,6,6,1
qwen2.5:3b,trivial,cot,19114,GONDOLA,5,0,6,6,1
qwen2.5:3b,trivial,cot,19114,GONDOLA,5,1,6,6,1
qwen2.5:3b,trivial,cot,19114,GONDOLA,5,2,6,6,1
qwen2.5:3b,trivial,cot,19114,GONDOLA,5,3,6,6,1
qwen2.5:3b,trivial,cot,19114,GONDOLA,5,4,6,6,1
qwen2.5:3b,trivial,cot,19114,GONDOLA,5,5,6,6,1
qwen2.5:3b,trivial,cot,19114,GONDOLA,5,6,6,6,1
qwen2.5:3b,trivial,cot,19114,GONDOLA,5,7,6,6,1
qwen2.5:3b,semantic_4,cot,19135,MONGOOSE,5,0,6,6,1
qwen2.5:3b,semantic_4,cot,19135,MONGOOSE,5,1,4,6,1
qwen2.5:3b,semantic_4,cot,19135,MONGOOSE,5,2,6,6,1
qwen2.5:3b,semantic_4,cot,19135,MONGOOSE,5,3,6,6,1
qwen2.5:3b,semantic_4,cot,19135,MONGOOSE,5,4,6,6,1
qwen2.5:3b,semantic_4,cot,19135,MONGOOSE,5,5,0,6,0
qwen2.5:3b,semantic_4,cot,19135,MONGOOSE,5,6,6,6,1
qwen2.5:3b,semantic_4,cot,19135,MONGOOSE,5,7,6,6,1
qwen2.5:3b,trivial,cot,20114,GLACIER,5,0,0,6,0
qwen2.5:3b,trivial,cot,20114,GLACIER,5,1,6,6,1
qwen2.5:3b,trivial,cot,20114,GLACIER,5,2,6,6,1
qwen2.5:3b,trivial,cot,20114,GLACIER,5,3,6,6,1
qwen2.5:3b,trivial,cot,20114,GLACIER,5,4,6,6,1
qwen2.5:3b,trivial,cot,20114,GLACIER,5,5,6,6,1
qwen2.5:3b,trivial,cot,20114,GLACIER,5,6,6,6,1
qwen2.5:3b,trivial,cot,20114,GLACIER,5,7,6,6,1
qwen2.5:3b,semantic_4,cot,20135,FIREFLY,5,0,6,6,1
qwen2.5:3b,semantic_4,cot,20135,FIREFLY,5,1,0,6,0
qwen2.5:3b,semantic_4,cot,20135,FIREFLY,5,2,4,6,0
qwen2.5:3b,semantic_4,cot,20135,FIREFLY,5,3,0,6,0
qwen2.5:3b,semantic_4,cot,20135,FIREFLY,5,4,6,6,1
qwen2.5:3b,semantic_4,cot,20135,FIREFLY,5,5,2,6,0
qwen2.5:3b,semantic_4,cot,20135,FIREFLY,5,6,1,6,0
qwen2.5:3b,semantic_4,cot,20135,FIREFLY,5,7,5,6,1
qwen2.5:3b,trivial,cot,21114,ZUCCHINI,5,0,0,6,1
qwen2.5:3b,trivial,cot,21114,ZUCCHINI,5,1,6,6,1
qwen2.5:3b,trivial,cot,21114,ZUCCHINI,5,2,6,6,1
qwen2.5:3b,trivial,cot,21114,ZUCCHINI,5,3,6,6,1
qwen2.5:3b,trivial,cot,21114,ZUCCHINI,5,4,6,6,1
qwen2.5:3b,trivial,cot,21114,ZUCCHINI,5,5,6,6,1
qwen2.5:3b,trivial,cot,21114,ZUCCHINI,5,6,6,6,1
qwen2.5:3b,trivial,cot,21114,ZUCCHINI,5,7,6,6,1
qwen2.5:3b,semantic_4,cot,21135,TULIP,5,0,0,6,0
qwen2.5:3b,semantic_4,cot,21135,TULIP,5,1,6,6,1
qwen2.5:3b,semantic_4,cot,21135,TULIP,5,2,6,6,0
qwen2.5:3b,semantic_4,cot,21135,TULIP,5,3,0,6,0
qwen2.5:3b,semantic_4,cot,21135,TULIP,5,4,5,6,1
qwen2.5:3b,semantic_4,cot,21135,TULIP,5,5,3,6,1
qwen2.5:3b,semantic_4,cot,21135,TULIP,5,6,0,6,0
qwen2.5:3b,semantic_4,cot,21135,TULIP,5,7,2,6,0
qwen2.5:3b,trivial,cot,22114,RHUBARB,5,0,6,6,1
qwen2.5:3b,trivial,cot,22114,RHUBARB,5,1,6,6,1
qwen2.5:3b,trivial,cot,22114,RHUBARB,5,2,6,6,1
qwen2.5:3b,trivial,cot,22114,RHUBARB,5,3,6,6,1
qwen2.5:3b,trivial,cot,22114,RHUBARB,5,4,6,6,1
qwen2.5:3b,trivial,cot,22114,RHUBARB,5,5,6,6,1
qwen2.5:3b,trivial,cot,22114,RHUBARB,5,6,4,6,0
qwen2.5:3b,trivial,cot,22114,RHUBARB,5,7,6,6,1
