model,n_tasks,naming,t1_load,regime,passphrase_last,base_temp,probe_k,seed,t2_phrase,t2_task_name,t2_rank,t2_abs_index,cot_len_chars,base_output_truncated,has_fork_point,realized_report_contains,realized_t2_in_cot,report_s,report_k,report_degenerate,access_s,access_k,access_degenerate
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,7114,HOTEL PAPA FOXTROT,VINEYARD,5,15,97,0,1,0,,12,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,7135,XRAY KILO FOXTROT,METRONOME,5,11,1154,0,1,1,1,20,20,0,7,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,7135,XRAY KILO FOXTROT,METRONOME,5,11,134,0,1,1,,18,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,7135,XRAY KILO FOXTROT,METRONOME,5,11,942,0,1,0,1,2,20,0,7,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,7135,XRAY KILO FOXTROT,METRONOME,5,11,138,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,8114,MIKE ECHO YANKEE,PYRAMID,5,12,490,0,1,1,1,20,20,0,9,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,8114,MIKE ECHO YANKEE,PYRAMID,5,12,424,0,1,0,,18,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,8135,UNIFORM QUEBEC PAPA,QUIVER,5,15,740,0,1,0,0,8,20,0,6,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,8135,UNIFORM QUEBEC PAPA,QUIVER,5,15,130,0,1,1,,11,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,8135,UNIFORM QUEBEC PAPA,QUIVER,5,15,500,0,1,0,0,0,20,0,6,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,8135,UNIFORM QUEBEC PAPA,QUIVER,5,15,143,0,1,1,,18,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,9114,UNIFORM SIERRA KILO,ORCHID,5,15,701,0,1,0,0,0,20,0,5,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,9114,UNIFORM SIERRA KILO,ORCHID,5,15,94,0,1,0,,16,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,9135,LIMA QUEBEC FOXTROT,SUNDIAL,5,11,934,0,1,0,0,0,20,0,6,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,9135,LIMA QUEBEC FOXTROT,SUNDIAL,5,11,136,0,1,1,,17,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,9135,LIMA QUEBEC FOXTROT,SUNDIAL,5,11,944,0,1,0,0,0,20,0,6,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,9135,LIMA QUEBEC FOXTROT,SUNDIAL,5,11,136,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,10114,BRAVO QUEBEC INDIA,NUTMEG,5,14,336,0,1,0,0,0,20,0,7,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,10114,BRAVO QUEBEC INDIA,NUTMEG,5,14,126,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,10135,LIMA INDIA MIKE,PELICAN,5,15,354,0,1,0,0,5,20,0,9,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,10135,LIMA INDIA MIKE,PELICAN,5,15,247,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,10135,LIMA INDIA MIKE,PELICAN,5,15,805,0,1,1,1,20,20,0,8,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,10135,LIMA INDIA MIKE,PELICAN,5,15,124,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,11114,BRAVO SIERRA FOXTROT,HEDGEHOG,5,15,277,0,1,1,1,20,20,0,10,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,11114,BRAVO SIERRA FOXTROT,HEDGEHOG,5,15,137,0,1,1,,18,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,11135,PAPA XRAY KILO,OPAL,5,12,772,0,1,0,0,16,20,0,10,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,11135,PAPA XRAY KILO,OPAL,5,12,185,0,1,0,,16,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,11135,PAPA XRAY KILO,OPAL,5,12,1540,0,1,1,1,20,20,0,8,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,11135,PAPA XRAY KILO,OPAL,5,12,127,0,1,1,,18,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,12114,JULIET CHARLIE ZULU,VINEYARD,5,14,586,0,1,0,0,0,20,0,13,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,12114,JULIET CHARLIE ZULU,VINEYARD,5,14,136,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,12135,JULIET GOLF INDIA,GARGOYLE,5,11,683,0,1,0,0,0,20,0,8,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,12135,JULIET GOLF INDIA,GARGOYLE,5,11,146,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,12135,JULIET GOLF INDIA,GARGOYLE,5,11,1530,0,1,1,1,20,20,0,7,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,12135,JULIET GOLF INDIA,GARGOYLE,5,11,149,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,13114,PAPA BRAVO JULIET,FIREFLY,5,15,847,0,1,0,0,0,20,0,5,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,13114,PAPA BRAVO JULIET,FIREFLY,5,15,133,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,13135,BRAVO ECHO SIERRA,TAPESTRY,5,15,626,0,1,0,0,10,20,0,4,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,13135,BRAVO ECHO SIERRA,TAPESTRY,5,15,135,0,1,1,,16,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,13135,BRAVO ECHO SIERRA,TAPESTRY,5,15,2191,0,1,1,1,17,20,0,7,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,13135,BRAVO ECHO SIERRA,TAPESTRY,5,15,98,0,1,0,,9,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,14114,ROMEO BRAVO LIMA,CACTUS,5,13,371,0,1,0,0,0,20,0,11,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,14114,ROMEO BRAVO LIMA,CACTUS,5,13,128,0,1,1,,18,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,14135,PAPA JULIET UNIFORM,HARMONICA,5,15,808,0,1,1,0,19,20,0,9,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,14135,PAPA JULIET UNIFORM,HARMONICA,5,15,149,0,1,1,,2,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,14135,PAPA JULIET UNIFORM,HARMONICA,5,15,977,0,1,1,1,17,20,0,10,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,14135,PAPA JULIET UNIFORM,HARMONICA,5,15,141,0,1,1,,14,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,15114,BRAVO GOLF ALPHA,ANCHOVY,5,14,405,0,1,0,0,0,20,0,11,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,15114,BRAVO GOLF ALPHA,ANCHOVY,5,14,138,0,1,1,,17,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,15135,ROMEO DELTA HOTEL,TOBOGGAN,5,15,372,0,1,1,1,13,20,0,5,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,15135,ROMEO DELTA HOTEL,TOBOGGAN,5,15,133,0,1,1,,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,15135,ROMEO DELTA HOTEL,TOBOGGAN,5,15,873,0,1,1,0,10,20,0,4,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,15135,ROMEO DELTA HOTEL,TOBOGGAN,5,15,146,0,1,1,,12,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,16114,LIMA DELTA JULIET,JIGSAW,5,15,414,0,1,0,0,0,20,0,3,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,16114,LIMA DELTA JULIET,JIGSAW,5,15,125,0,1,1,,13,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,16135,ECHO QUEBEC TANGO,BLIZZARD,5,13,482,0,1,1,1,20,20,0,3,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,16135,ECHO QUEBEC TANGO,BLIZZARD,5,13,137,0,1,1,,18,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,16135,ECHO QUEBEC TANGO,BLIZZARD,5,13,533,0,1,0,0,8,20,0,6,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,16135,ECHO QUEBEC TANGO,BLIZZARD,5,13,157,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,17114,GOLF BRAVO MIKE,CENTIPEDE,5,14,381,0,1,0,0,0,20,0,6,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,17114,GOLF BRAVO MIKE,CENTIPEDE,5,14,146,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,17135,XRAY ZULU ALPHA,EMERALD,5,10,1639,0,1,1,1,20,20,0,15,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,17135,XRAY ZULU ALPHA,EMERALD,5,10,125,0,1,1,,17,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,17135,XRAY ZULU ALPHA,EMERALD,5,10,1541,0,1,1,1,1,20,0,17,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,17135,XRAY ZULU ALPHA,EMERALD,5,10,140,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,18114,ALPHA ZULU CHARLIE,INKWELL,5,14,472,0,1,1,0,19,20,0,11,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,18114,ALPHA ZULU CHARLIE,INKWELL,5,14,151,0,1,1,,16,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,18135,VICTOR DELTA XRAY,ABACUS,5,15,1140,0,1,1,0,10,20,0,10,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,18135,VICTOR DELTA XRAY,ABACUS,5,15,130,0,1,1,,17,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,18135,VICTOR DELTA XRAY,ABACUS,5,15,1525,0,1,1,1,19,20,0,4,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,18135,VICTOR DELTA XRAY,ABACUS,5,15,102,0,1,0,,0,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,19114,TANGO MIKE YANKEE,GONDOLA,5,14,591,0,1,0,0,8,20,0,6,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,19114,TANGO MIKE YANKEE,GONDOLA,5,14,131,0,1,1,,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,19135,GOLF OSCAR BRAVO,MONGOOSE,5,13,407,0,1,1,0,16,20,0,10,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,19135,GOLF OSCAR BRAVO,MONGOOSE,5,13,185,0,1,0,,16,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,19135,GOLF OSCAR BRAVO,MONGOOSE,5,13,960,0,1,0,0,0,20,0,3,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,19135,GOLF OSCAR BRAVO,MONGOOSE,5,13,91,0,1,0,,1,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,20114,WHISKEY FOXTROT NOVEMBER,GLACIER,5,12,759,0,1,1,1,20,20,0,15,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,20114,WHISKEY FOXTROT NOVEMBER,GLACIER,5,12,137,0,1,1,,18,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,20135,GOLF ECHO NOVEMBER,FIREFLY,5,13,1613,0,1,1,1,20,20,0,13,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,20135,GOLF ECHO NOVEMBER,FIREFLY,5,13,133,0,1,1,,16,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,20135,GOLF ECHO NOVEMBER,FIREFLY,5,13,1623,0,1,1,0,20,20,0,10,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,20135,GOLF ECHO NOVEMBER,FIREFLY,5,13,227,0,1,0,,17,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,21114,BRAVO GOLF LIMA,ZUCCHINI,5,13,402,0,1,0,0,0,20,0,6,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,21114,BRAVO GOLF LIMA,ZUCCHINI,5,13,126,0,1,1,,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,21135,QUEBEC HOTEL CHARLIE,TULIP,5,14,1101,0,0,0,0,,,,2,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,21135,QUEBEC HOTEL CHARLIE,TULIP,5,14,194,0,1,0,,8,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,21135,QUEBEC HOTEL CHARLIE,TULIP,5,14,304,0,1,1,1,7,20,0,3,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,21135,QUEBEC HOTEL CHARLIE,TULIP,5,14,131,0,1,1,,17,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,22114,GOLF MIKE WHISKEY,RHUBARB,5,12,641,0,1,1,1,20,20,0,8,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,22114,GOLF MIKE WHISKEY,RHUBARB,5,12,173,0,1,1,,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,22135,FOXTROT KILO ALPHA,PLATYPUS,5,12,1212,0,1,1,1,18,20,0,9,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,22135,FOXTROT KILO ALPHA,PLATYPUS,5,12,136,0,1,1,,13,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,22135,FOXTROT KILO ALPHA,PLATYPUS,5,12,1526,0,1,1,1,20,20,0,8,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,22135,FOXTROT KILO ALPHA,PLATYPUS,5,12,131,0,1,1,,16,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,23114,KILO ALPHA VICTOR,QUIVER,5,10,860,0,1,0,0,0,20,0,10,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,23114,KILO ALPHA VICTOR,QUIVER,5,10,131,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,23135,VICTOR ALPHA ROMEO,TOBOGGAN,5,15,562,0,1,1,0,4,20,0,12,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,23135,VICTOR ALPHA ROMEO,TOBOGGAN,5,15,133,0,1,1,,10,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,23135,VICTOR ALPHA ROMEO,TOBOGGAN,5,15,902,0,1,1,0,14,20,0,11,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,23135,VICTOR ALPHA ROMEO,TOBOGGAN,5,15,130,0,1,1,,17,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,24114,WHISKEY UNIFORM ECHO,QUARRY,5,14,419,0,1,1,0,20,20,0,13,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,24114,WHISKEY UNIFORM ECHO,QUARRY,5,14,478,0,1,1,,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,24135,ALPHA OSCAR MIKE,TOBOGGAN,5,14,608,0,1,0,0,1,20,0,7,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,24135,ALPHA OSCAR MIKE,TOBOGGAN,5,14,145,0,1,1,,18,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,24135,ALPHA OSCAR MIKE,TOBOGGAN,5,14,957,0,1,1,1,19,20,0,7,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,24135,ALPHA OSCAR MIKE,TOBOGGAN,5,14,142,0,1,1,,17,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,25114,HOTEL ROMEO NOVEMBER,KUMQUAT,5,11,1083,0,1,0,0,1,20,0,8,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,25114,HOTEL ROMEO NOVEMBER,KUMQUAT,5,11,130,0,1,1,,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,25135,JULIET XRAY WHISKEY,KUMQUAT,5,10,1154,0,1,0,0,2,20,0,12,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,25135,JULIET XRAY WHISKEY,KUMQUAT,5,10,147,0,1,1,,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,25135,JULIET XRAY WHISKEY,KUMQUAT,5,10,655,0,1,1,0,7,20,0,14,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,25135,JULIET XRAY WHISKEY,KUMQUAT,5,10,195,0,1,0,,15,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,26114,BRAVO JULIET XRAY,EMERALD,5,15,724,0,1,0,0,0,20,0,9,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,26114,BRAVO JULIET XRAY,EMERALD,5,15,130,0,1,1,,17,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,26135,INDIA ZULU UNIFORM,QUIVER,5,11,1121,0,1,1,1,20,20,0,8,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,26135,INDIA ZULU UNIFORM,QUIVER,5,11,138,0,1,1,,18,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,26135,INDIA ZULU UNIFORM,QUIVER,5,11,683,0,1,1,1,20,20,0,12,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,26135,INDIA ZULU UNIFORM,QUIVER,5,11,132,0,1,1,,18,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,27114,VICTOR XRAY LIMA,LANTERN,5,14,604,0,1,0,0,0,20,0,8,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,27114,VICTOR XRAY LIMA,LANTERN,5,14,123,0,1,1,,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,27135,WHISKEY ECHO FOXTROT,CACTUS,5,14,901,0,1,1,0,20,20,0,11,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,27135,WHISKEY ECHO FOXTROT,CACTUS,5,14,219,0,1,0,,18,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,27135,WHISKEY ECHO FOXTROT,CACTUS,5,14,786,0,1,0,0,20,20,0,8,20,0
