model,n_tasks,t1_load,regime,seed,cot_len_chars,base_output_truncated,realized_report_contains,realized_t2_in_cot,t1_correct
qwen2.5:0.5b,5,math_bench_2,cot,5149,288,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_2,direct,5149,41,0,0,,0.0
qwen2.5:0.5b,5,math_bench_4,cot,5149,674,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_4,direct,5149,185,0,0,,0.0
qwen2.5:0.5b,5,math_bench_5,cot,5149,773,0,0,1,0.0
qwen2.5:0.5b,5,math_bench_5,direct,5149,153,0,0,,0.0
qwen2.5:0.5b,5,trivial,cot,6114,332,0,0,0,0.0
qwen2.5:0.5b,5,trivial,direct,6114,48,0,0,,0.0
qwen2.5:0.5b,5,math_bench_2,cot,6149,1841,0,0,1,0.0
qwen2.5:0.5b,5,math_bench_2,direct,6149,107,0,1,,0.0
qwen2.5:0.5b,5,math_bench_4,cot,6149,284,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_4,direct,6149,144,0,0,,0.0
qwen2.5:0.5b,5,math_bench_5,cot,6149,559,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_5,direct,6149,47,0,0,,0.0
qwen2.5:0.5b,5,trivial,cot,7114,200,0,0,0,0.0
qwen2.5:0.5b,5,trivial,direct,7114,430,0,0,,0.0
qwen2.5:0.5b,5,math_bench_2,cot,7149,1230,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_2,direct,7149,81,0,0,,0.0
qwen2.5:0.5b,5,math_bench_4,cot,7149,219,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_4,direct,7149,64,0,0,,0.0
qwen2.5:0.5b,5,math_bench_5,cot,7149,645,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_5,direct,7149,52,0,0,,0.0
qwen2.5:0.5b,5,trivial,cot,8114,2929,0,0,1,0.0
qwen2.5:0.5b,5,trivial,direct,8114,181,0,1,,0.5
qwen2.5:0.5b,5,math_bench_2,cot,8149,563,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_2,direct,8149,95,0,0,,0.0
qwen2.5:0.5b,5,math_bench_4,cot,8149,168,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_4,direct,8149,4087,0,0,,0.0
qwen2.5:0.5b,5,math_bench_5,cot,8149,722,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_5,direct,8149,26,0,0,,0.0
qwen2.5:0.5b,5,trivial,cot,9114,330,0,0,0,0.0
qwen2.5:0.5b,5,trivial,direct,9114,91,0,1,,0.5
qwen2.5:0.5b,5,math_bench_2,cot,9149,2106,0,0,1,0.0
qwen2.5:0.5b,5,math_bench_2,direct,9149,113,0,1,,0.0
qwen2.5:0.5b,5,math_bench_4,cot,9149,815,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_4,direct,9149,118,0,0,,0.0
qwen2.5:0.5b,5,math_bench_5,cot,9149,241,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_5,direct,9149,124,0,1,,0.0
qwen2.5:0.5b,5,trivial,cot,10114,349,0,1,0,0.0
qwen2.5:0.5b,5,trivial,direct,10114,58,0,0,,0.5
qwen2.5:0.5b,5,math_bench_2,cot,10149,514,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_2,direct,10149,172,0,0,,0.0
qwen2.5:0.5b,5,math_bench_4,cot,10149,1588,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_4,direct,10149,24,0,0,,0.0
qwen2.5:0.5b,5,math_bench_5,cot,10149,1816,0,0,1,0.0
qwen2.5:0.5b,5,math_bench_5,direct,10149,746,0,0,,0.0
qwen2.5:0.5b,5,trivial,cot,11114,564,0,1,0,0.0
qwen2.5:0.5b,5,trivial,direct,11114,110,0,0,,0.0
qwen2.5:0.5b,5,math_bench_2,cot,11149,323,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_2,direct,11149,144,0,1,,0.0
qwen2.5:0.5b,5,math_bench_4,cot,11149,1987,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_4,direct,11149,551,0,0,,0.0
qwen2.5:0.5b,5,math_bench_5,cot,11149,270,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_5,direct,11149,142,0,0,,0.0
qwen2.5:0.5b,5,trivial,cot,12114,694,0,0,0,0.0
qwen2.5:0.5b,5,trivial,direct,12114,78,0,0,,0.0
qwen2.5:0.5b,5,math_bench_2,cot,12149,387,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_2,direct,12149,134,0,0,,0.0
qwen2.5:0.5b,5,math_bench_4,cot,12149,802,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_4,direct,12149,4,0,0,,0.0
qwen2.5:0.5b,5,math_bench_5,cot,12149,318,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_5,direct,12149,81,0,0,,0.0
qwen2.5:0.5b,5,trivial,cot,13114,400,0,1,0,0.0
qwen2.5:0.5b,5,trivial,direct,13114,103,0,0,,1.0
qwen2.5:0.5b,5,math_bench_2,cot,13149,1727,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_2,direct,13149,109,0,0,,0.0
qwen2.5:0.5b,5,math_bench_4,cot,13149,360,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_4,direct,13149,5090,0,0,,0.0
qwen2.5:0.5b,5,math_bench_5,cot,13149,1774,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_5,direct,13149,114,0,0,,0.0
qwen2.5:0.5b,5,trivial,cot,14114,1998,0,0,1,0.0
qwen2.5:0.5b,5,trivial,direct,14114,318,0,1,,0.5
qwen2.5:0.5b,5,math_bench_2,cot,14149,287,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_2,direct,14149,88,0,1,,0.0
qwen2.5:0.5b,5,math_bench_4,cot,14149,3702,0,0,1,0.0
qwen2.5:0.5b,5,math_bench_4,direct,14149,187,0,1,,0.25
qwen2.5:0.5b,5,math_bench_5,cot,14149,649,0,0,0,0.0
qwen2.5:0.5b,5,math_bench_5,direct,14149,654,0,0,,0.0
