model,n_tasks,naming,t1_load,regime,passphrase_last,base_temp,probe_k,seed,t2_phrase,t2_task_name,t2_rank,t2_abs_index,cot_len_chars,base_output_truncated,has_fork_point,realized_report_contains,realized_t2_in_cot,t1_correct,report_s,report_k,report_degenerate,access_s,access_k,access_degenerate
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,3149,KILO UNIFORM INDIA,TOBOGGAN,5,14,126,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,3149,KILO UNIFORM INDIA,TOBOGGAN,5,14,975,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,3149,KILO UNIFORM INDIA,TOBOGGAN,5,14,128,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,3149,KILO UNIFORM INDIA,TOBOGGAN,5,14,1590,0,1,1,1,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,3149,KILO UNIFORM INDIA,TOBOGGAN,5,14,131,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,4114,ALPHA XRAY WHISKEY,HAMMOCK,5,15,451,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,4114,ALPHA XRAY WHISKEY,HAMMOCK,5,15,138,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,4149,INDIA DELTA ROMEO,EGGPLANT,5,14,901,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,4149,INDIA DELTA ROMEO,EGGPLANT,5,14,130,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,4149,INDIA DELTA ROMEO,EGGPLANT,5,14,1256,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,4149,INDIA DELTA ROMEO,EGGPLANT,5,14,128,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,4149,INDIA DELTA ROMEO,EGGPLANT,5,14,1024,0,1,1,1,0.75,11,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,4149,INDIA DELTA ROMEO,EGGPLANT,5,14,129,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,5114,GOLF QUEBEC OSCAR,BLIZZARD,5,14,471,0,1,0,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,5114,GOLF QUEBEC OSCAR,BLIZZARD,5,14,138,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,5149,OSCAR WHISKEY YANKEE,UNICYCLE,5,15,846,0,1,1,1,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,5149,OSCAR WHISKEY YANKEE,UNICYCLE,5,15,133,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,5149,OSCAR WHISKEY YANKEE,UNICYCLE,5,15,1184,0,1,1,1,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,5149,OSCAR WHISKEY YANKEE,UNICYCLE,5,15,137,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,5149,OSCAR WHISKEY YANKEE,UNICYCLE,5,15,1479,0,1,1,1,0.5,17,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,5149,OSCAR WHISKEY YANKEE,UNICYCLE,5,15,131,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,6114,CHARLIE SIERRA ECHO,CACTUS,5,14,485,0,1,1,1,1.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,6114,CHARLIE SIERRA ECHO,CACTUS,5,14,138,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,6149,WHISKEY PAPA INDIA,CACTUS,5,15,1748,0,1,1,1,0.25,17,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,6149,WHISKEY PAPA INDIA,CACTUS,5,15,124,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,6149,WHISKEY PAPA INDIA,CACTUS,5,15,1713,0,1,1,0,0.75,11,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,6149,WHISKEY PAPA INDIA,CACTUS,5,15,123,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,6149,WHISKEY PAPA INDIA,CACTUS,5,15,1714,0,1,0,0,0.5,0,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,6149,WHISKEY PAPA INDIA,CACTUS,5,15,123,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,7114,HOTEL PAPA FOXTROT,VINEYARD,5,15,391,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,7114,HOTEL PAPA FOXTROT,VINEYARD,5,15,139,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,7149,ECHO UNIFORM CHARLIE,JUKEBOX,5,15,831,0,1,0,0,1.0,0,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,7149,ECHO UNIFORM CHARLIE,JUKEBOX,5,15,126,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,7149,ECHO UNIFORM CHARLIE,JUKEBOX,5,15,1423,0,1,0,0,0.75,0,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,7149,ECHO UNIFORM CHARLIE,JUKEBOX,5,15,124,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,7149,ECHO UNIFORM CHARLIE,JUKEBOX,5,15,1443,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,7149,ECHO UNIFORM CHARLIE,JUKEBOX,5,15,126,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,8114,MIKE ECHO YANKEE,PYRAMID,5,12,292,0,1,1,1,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,8114,MIKE ECHO YANKEE,PYRAMID,5,12,133,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,8149,BRAVO GOLF VICTOR,OPAL,5,15,1141,0,1,1,1,0.5,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,8149,BRAVO GOLF VICTOR,OPAL,5,15,121,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,8149,BRAVO GOLF VICTOR,OPAL,5,15,1670,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,8149,BRAVO GOLF VICTOR,OPAL,5,15,151,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,8149,BRAVO GOLF VICTOR,OPAL,5,15,1878,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,8149,BRAVO GOLF VICTOR,OPAL,5,15,120,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,9114,UNIFORM SIERRA KILO,ORCHID,5,15,464,0,1,1,1,1.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,9114,UNIFORM SIERRA KILO,ORCHID,5,15,137,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,9149,UNIFORM ZULU ROMEO,WALRUS,5,13,730,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,9149,UNIFORM ZULU ROMEO,WALRUS,5,13,125,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,9149,UNIFORM ZULU ROMEO,WALRUS,5,13,1194,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,9149,UNIFORM ZULU ROMEO,WALRUS,5,13,124,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,9149,UNIFORM ZULU ROMEO,WALRUS,5,13,1698,0,1,1,1,0.25,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,9149,UNIFORM ZULU ROMEO,WALRUS,5,13,122,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,10114,BRAVO QUEBEC INDIA,NUTMEG,5,14,408,0,1,1,1,0.5,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,10114,BRAVO QUEBEC INDIA,NUTMEG,5,14,133,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,10149,JULIET MIKE DELTA,SAPPHIRE,5,15,1177,0,1,0,1,1.0,0,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,10149,JULIET MIKE DELTA,SAPPHIRE,5,15,123,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,10149,JULIET MIKE DELTA,SAPPHIRE,5,15,1664,0,1,1,1,0.5,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,10149,JULIET MIKE DELTA,SAPPHIRE,5,15,125,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,10149,JULIET MIKE DELTA,SAPPHIRE,5,15,1069,0,1,1,1,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,10149,JULIET MIKE DELTA,SAPPHIRE,5,15,107,0,1,0,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,11114,BRAVO SIERRA FOXTROT,HEDGEHOG,5,15,504,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,11114,BRAVO SIERRA FOXTROT,HEDGEHOG,5,15,145,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,11149,HOTEL LIMA JULIET,ZUCCHINI,5,15,885,0,1,0,0,1.0,0,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,11149,HOTEL LIMA JULIET,ZUCCHINI,5,15,130,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,11149,HOTEL LIMA JULIET,ZUCCHINI,5,15,1141,0,1,0,0,0.5,0,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,11149,HOTEL LIMA JULIET,ZUCCHINI,5,15,127,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,11149,HOTEL LIMA JULIET,ZUCCHINI,5,15,1593,0,1,0,0,0.0,0,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,11149,HOTEL LIMA JULIET,ZUCCHINI,5,15,131,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,12114,JULIET CHARLIE ZULU,VINEYARD,5,14,354,0,1,0,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,12114,JULIET CHARLIE ZULU,VINEYARD,5,14,135,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,12149,PAPA OSCAR ZULU,ORIGAMI,5,15,1267,0,1,1,1,0.75,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,12149,PAPA OSCAR ZULU,ORIGAMI,5,15,125,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,12149,PAPA OSCAR ZULU,ORIGAMI,5,15,1085,0,1,0,0,0.25,0,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,12149,PAPA OSCAR ZULU,ORIGAMI,5,15,127,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,12149,PAPA OSCAR ZULU,ORIGAMI,5,15,1284,0,1,1,1,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,12149,PAPA OSCAR ZULU,ORIGAMI,5,15,128,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,13114,PAPA BRAVO JULIET,FIREFLY,5,15,419,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,13114,PAPA BRAVO JULIET,FIREFLY,5,15,140,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,13149,WHISKEY YANKEE INDIA,RASPBERRY,5,11,592,0,1,1,0,0.5,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,13149,WHISKEY YANKEE INDIA,RASPBERRY,5,11,128,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,13149,WHISKEY YANKEE INDIA,RASPBERRY,5,11,1164,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,13149,WHISKEY YANKEE INDIA,RASPBERRY,5,11,126,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,13149,WHISKEY YANKEE INDIA,RASPBERRY,5,11,1532,0,1,1,1,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,13149,WHISKEY YANKEE INDIA,RASPBERRY,5,11,130,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,14114,ROMEO BRAVO LIMA,CACTUS,5,13,613,0,1,1,1,0.5,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,14114,ROMEO BRAVO LIMA,CACTUS,5,13,133,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,14149,HOTEL DELTA UNIFORM,UMBRELLA,5,15,1690,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,14149,HOTEL DELTA UNIFORM,UMBRELLA,5,15,124,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,14149,HOTEL DELTA UNIFORM,UMBRELLA,5,15,1583,0,1,1,1,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,14149,HOTEL DELTA UNIFORM,UMBRELLA,5,15,124,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,14149,HOTEL DELTA UNIFORM,UMBRELLA,5,15,1790,0,1,0,0,0.75,16,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,14149,HOTEL DELTA UNIFORM,UMBRELLA,5,15,121,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,15114,BRAVO GOLF ALPHA,ANCHOVY,5,14,436,0,1,1,1,0.75,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,15114,BRAVO GOLF ALPHA,ANCHOVY,5,14,137,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,15149,OSCAR ECHO ZULU,YOGURT,5,12,1301,0,1,1,1,1.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,15149,OSCAR ECHO ZULU,YOGURT,5,12,123,0,1,1,,0.75,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,15149,OSCAR ECHO ZULU,YOGURT,5,12,1121,0,1,1,1,0.5,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,15149,OSCAR ECHO ZULU,YOGURT,5,12,121,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,15149,OSCAR ECHO ZULU,YOGURT,5,12,1229,0,1,1,1,0.75,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,15149,OSCAR ECHO ZULU,YOGURT,5,12,121,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,16114,LIMA DELTA JULIET,JIGSAW,5,15,456,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,16114,LIMA DELTA JULIET,JIGSAW,5,15,136,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,16149,YANKEE HOTEL INDIA,YACHT,5,13,1583,0,1,1,1,0.75,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,16149,YANKEE HOTEL INDIA,YACHT,5,13,123,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,16149,YANKEE HOTEL INDIA,YACHT,5,13,1295,0,1,1,1,1.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,16149,YANKEE HOTEL INDIA,YACHT,5,13,119,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,16149,YANKEE HOTEL INDIA,YACHT,5,13,1048,0,1,0,0,0.5,0,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,16149,YANKEE HOTEL INDIA,YACHT,5,13,122,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,17114,GOLF BRAVO MIKE,CENTIPEDE,5,14,479,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,17114,GOLF BRAVO MIKE,CENTIPEDE,5,14,141,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,17149,JULIET NOVEMBER WHISKEY,DOLPHIN,5,14,1281,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,17149,JULIET NOVEMBER WHISKEY,DOLPHIN,5,14,132,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,17149,JULIET NOVEMBER WHISKEY,DOLPHIN,5,14,1267,0,1,1,1,0.25,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,17149,JULIET NOVEMBER WHISKEY,DOLPHIN,5,14,133,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,17149,JULIET NOVEMBER WHISKEY,DOLPHIN,5,14,1433,0,1,1,1,0.25,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,17149,JULIET NOVEMBER WHISKEY,DOLPHIN,5,14,133,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,18114,ALPHA ZULU CHARLIE,INKWELL,5,14,413,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,18114,ALPHA ZULU CHARLIE,INKWELL,5,14,143,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,18149,ALPHA OSCAR FOXTROT,OPAL,5,14,979,0,1,1,1,1.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,18149,ALPHA OSCAR FOXTROT,OPAL,5,14,124,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,18149,ALPHA OSCAR FOXTROT,OPAL,5,14,926,0,1,0,0,0.25,7,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,18149,ALPHA OSCAR FOXTROT,OPAL,5,14,121,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,18149,ALPHA OSCAR FOXTROT,OPAL,5,14,1110,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,18149,ALPHA OSCAR FOXTROT,OPAL,5,14,120,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,19114,TANGO MIKE YANKEE,GONDOLA,5,14,545,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,19114,TANGO MIKE YANKEE,GONDOLA,5,14,138,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,19149,VICTOR ZULU UNIFORM,VOLCANO,5,8,1444,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,19149,VICTOR ZULU UNIFORM,VOLCANO,5,8,125,0,1,1,,0.0,20,20,0,,,
